event_type,entity_id,entity_type,terminal,timestamp
TRAIN_UNLOADING,TAKARGO_991,train,T3,2026-05-29T16:14:54.972953
CONTAINER_SCAN,CONT_816307,container,T4,2026-05-29T16:16:30.972953
CONTAINER_TRANSFER,CONT_321509,container,T1,2026-05-29T16:17:09.972953
TRAIN_UNLOADING,TAKARGO_991,train,T2,2026-05-29T16:17:56.972953
TRAIN_UNLOADING,MEDWAY_778,train,T2,2026-05-29T16:18:15.972953
CONTAINER_SCAN,CONT_964944,container,T4,2026-05-29T16:18:53.972953
CONTAINER_UNLOAD,CONT_751834,container,T2,2026-05-29T16:18:57.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T2,2026-05-29T16:20:10.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T2,2026-05-29T16:20:25.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T1,2026-05-29T16:21:41.972953
CONTAINER_TRANSFER,CONT_793218,container,T3,2026-05-29T16:22:01.972953
CONTAINER_UNLOAD,CONT_151887,container,T3,2026-05-29T16:22:14.972953
TRAIN_LOADING,TAKARGO_991,train,T4,2026-05-29T16:25:35.972953
TRAIN_DEPARTURE,CP_4401,train,T3,2026-05-29T16:25:47.972953
CONTAINER_TRANSFER,CONT_714112,container,T4,2026-05-29T16:27:59.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T2,2026-05-29T16:28:26.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T3,2026-05-29T16:29:08.972953
CONTAINER_SCAN,CONT_259600,container,T4,2026-05-29T16:29:19.972953
TRAIN_UNLOADING,CP_4401,train,T4,2026-05-29T16:29:41.972953
CONTAINER_TRANSFER,CONT_305467,container,T4,2026-05-29T16:29:47.972953
CONTAINER_LOAD,CONT_548976,container,T1,2026-05-29T16:30:27.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T3,2026-05-29T16:30:36.972953
CONTAINER_UNLOAD,CONT_938264,container,T1,2026-05-29T16:31:51.972953
SHIP_UNDOCKED,POSEIDON_X,ship,T2,2026-05-29T16:32:00.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T2,2026-05-29T16:32:55.972953
CONTAINER_SCAN,CONT_238401,container,T2,2026-05-29T16:35:29.972953
TRAIN_LOADING,MEDWAY_778,train,T1,2026-05-29T16:35:31.972953
SHIP_DOCKED,EVER_GLOBE,ship,T2,2026-05-29T16:40:09.972953
SHIP_DEPARTURE,MSC_ATLAS,ship,T2,2026-05-29T16:40:28.972953
CONTAINER_SCAN,CONT_131023,container,T1,2026-05-29T16:40:32.972953
SHIP_ARRIVAL,EVER_GLOBE,ship,T1,2026-05-29T16:40:50.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T2,2026-05-29T16:41:01.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T4,2026-05-29T16:42:36.972953
SHIP_DOCKED,MSC_ATLAS,ship,T4,2026-05-29T16:44:00.972953
TRAIN_UNLOADING,MEDWAY_778,train,T2,2026-05-29T16:45:13.972953
CONTAINER_SCAN,CONT_781349,container,T4,2026-05-29T16:45:18.972953
CONTAINER_LOAD,CONT_599984,container,T2,2026-05-29T16:46:41.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T3,2026-05-29T16:47:21.972953
SHIP_UNDOCKED,POSEIDON_X,ship,T3,2026-05-29T16:47:31.972953
CONTAINER_SCAN,CONT_904233,container,T3,2026-05-29T16:48:07.972953
TRAIN_UNLOADING,CP_4401,train,T1,2026-05-29T16:48:19.972953
CONTAINER_SCAN,CONT_531786,container,T1,2026-05-29T16:48:52.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T4,2026-05-29T16:49:33.972953
CONTAINER_UNLOAD,CONT_903745,container,T2,2026-05-29T16:52:31.972953
CONTAINER_TRANSFER,CONT_466620,container,T3,2026-05-29T16:54:08.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T3,2026-05-29T16:54:33.972953
TRAIN_DEPARTURE,CP_4401,train,T3,2026-05-29T16:55:19.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T4,2026-05-29T16:56:38.972953
CONTAINER_UNLOAD,CONT_649859,container,T4,2026-05-29T16:58:28.972953
CONTAINER_UNLOAD,CONT_660148,container,T4,2026-05-29T16:58:46.972953
CONTAINER_UNLOAD,CONT_731295,container,T2,2026-05-29T16:59:26.972953
SHIP_DOCKED,POSEIDON_X,ship,T1,2026-05-29T17:00:43.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T2,2026-05-29T17:01:12.972953
CONTAINER_SCAN,CONT_955596,container,T4,2026-05-29T17:01:45.972953
SHIP_UNDOCKED,POSEIDON_X,ship,T4,2026-05-29T17:02:54.972953
TRAIN_UNLOADING,TAKARGO_991,train,T2,2026-05-29T17:03:13.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T4,2026-05-29T17:03:19.972953
TRAIN_LOADING,TAKARGO_991,train,T1,2026-05-29T17:04:48.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T4,2026-05-29T17:06:20.972953
TRAIN_LOADING,CP_4401,train,T3,2026-05-29T17:07:13.972953
SHIP_UNDOCKED,POSEIDON_X,ship,T4,2026-05-29T17:07:16.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T3,2026-05-29T17:09:13.972953
CONTAINER_TRANSFER,CONT_992492,container,T2,2026-05-29T17:09:15.972953
SHIP_DEPARTURE,MSC_ATLAS,ship,T3,2026-05-29T17:10:17.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T1,2026-05-29T17:11:05.972953
CONTAINER_TRANSFER,CONT_955738,container,T2,2026-05-29T17:11:33.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T1,2026-05-29T17:13:05.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T1,2026-05-29T17:14:58.972953
