timestamp_s,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,altitude_m,pressure_hPa,mag_north,mag_east,mag_down,roll_deg,pitch_deg,yaw_deg,speed_mps,flight_phase
0.0,1.39611,-0.01777,-9.63794,0.002833,-0.010951,0.003155,0.149,1013.232,0.19845,0.12462,0.47205,0.0,8.0,45.0,0.0,takeoff
0.01,1.26018,-0.0228,-9.78552,0.001138,-0.004599,-0.001423,0.754,1013.1594,0.19801,0.13089,0.46917,0.0,8.0,45.0,0.038,takeoff
0.02,1.35335,-0.12755,-9.77799,0.002818,-0.005994,0.003008,0.914,1013.1402,0.20234,0.12984,0.45899,0.0,8.0,45.0,0.075,takeoff
0.03,1.42811,0.09163,-9.52287,0.002154,-0.002867,-0.000399,1.155,1013.1112,0.20828,0.12153,0.47379,0.0,8.0,45.0,0.113,takeoff
0.04,1.53461,0.02484,-9.6048,-0.003054,0.000369,0.001339,1.633,1013.0539,0.2029,0.12972,0.46921,0.0,8.0,45.0,0.15,takeoff
0.0501,1.3493,-0.03401,-9.73732,0.006943,-0.002256,0.003463,1.721,1013.0433,0.2003,0.12439,0.47551,0.0,8.0,45.0,0.188,takeoff
0.0601,1.31649,-0.10098,-9.81468,0.002476,0.002941,0.002578,2.198,1012.9859,0.20916,0.1198,0.46518,0.0,8.0,45.0,0.225,takeoff
0.0701,1.3029,-0.1093,-9.73389,0.001864,-0.001745,-0.006269,2.71,1012.9244,0.20109,0.13582,0.46275,0.0,8.0,45.0,0.263,takeoff
0.0801,1.36912,-0.10019,-9.5799,-0.002312,-0.005202,-0.002601,2.819,1012.9114,0.20912,0.13462,0.46657,0.0,8.0,45.0,0.3,takeoff
0.0901,1.43913,-0.03605,-9.55332,-0.000578,-0.000598,0.004571,3.151,1012.8715,0.20135,0.13056,0.46978,0.0,8.0,45.0,0.338,takeoff
0.1001,1.37106,-0.04817,-9.70168,0.006204,-0.001063,0.002031,3.264,1012.858,0.21779,0.13209,0.46639,0.0,8.0,45.0,0.375,takeoff
0.1101,1.3293,-0.06762,-9.8137,-0.001123,-0.000658,0.005868,3.406,1012.8409,0.19992,0.12315,0.46782,0.0,8.0,45.0,0.413,takeoff
0.1201,1.45625,0.00645,-9.72931,0.000189,-0.002835,-0.002851,4.021,1012.7671,0.20802,0.13199,0.46895,0.0,8.0,45.0,0.45,takeoff
0.1301,1.40192,0.01756,-9.5565,-0.003429,0.000245,0.001441,4.045,1012.7641,0.19514,0.12488,0.47724,0.0,8.0,45.0,0.488,takeoff
0.1401,1.51233,0.0465,-9.43747,0.000844,0.000892,0.000151,4.427,1012.7183,0.20218,0.11526,0.47644,0.0,8.0,45.0,0.526,takeoff
0.1502,1.35626,-0.05153,-9.7288,0.000356,0.003327,0.007791,4.555,1012.7029,0.20379,0.12039,0.47494,0.0,8.0,45.0,0.563,takeoff
0.1602,1.35781,-0.08821,-9.81592,-0.000454,0.002894,0.003161,5.205,1012.6248,0.19223,0.12523,0.48042,0.0,8.0,45.0,0.601,takeoff
0.1702,1.42192,-0.13681,-9.795,-0.002636,0.003175,0.002252,5.29,1012.6147,0.20573,0.11253,0.46458,0.0,8.0,45.0,0.638,takeoff
0.1802,1.40991,0.05028,-9.70138,-0.00018,0.00106,-0.00284,5.74,1012.5607,0.20589,0.13414,0.46885,0.0,8.0,45.0,0.676,takeoff
0.1902,1.42053,0.07154,-9.60093,0.000297,-0.003343,0.001095,6.133,1012.5135,0.20833,0.12182,0.47068,0.0,8.0,45.0,0.713,takeoff
0.2002,1.46406,-0.05222,-9.6587,0.000392,-0.002163,-0.003356,6.518,1012.4673,0.20169,0.13069,0.46689,0.0,8.0,45.0,0.751,takeoff
0.2102,1.31271,0.00446,-9.76823,0.001599,0.000306,0.00067,6.605,1012.4568,0.20226,0.13008,0.46653,0.0,8.0,45.0,0.788,takeoff
0.2202,1.42899,-0.06125,-9.78087,0.003251,-0.001901,0.000663,6.902,1012.4211,0.21003,0.12225,0.46937,0.0,8.0,45.0,0.826,takeoff
0.2302,1.4076,0.05003,-9.6124,0.006392,-0.002434,0.000846,7.181,1012.3876,0.19898,0.12038,0.46735,0.0,8.0,45.0,0.863,takeoff
0.2402,1.48588,0.02728,-9.55799,0.004631,0.002697,0.005338,7.379,1012.3638,0.20309,0.13463,0.47121,0.0,8.0,45.0,0.901,takeoff
0.2503,1.37726,0.0263,-9.61176,-0.000772,-0.001298,0.004334,7.633,1012.3333,0.20563,0.11999,0.46508,0.0,8.0,45.0,0.938,takeoff
0.2603,1.31629,-0.03206,-9.83239,-0.001015,-0.001791,-0.001891,8.172,1012.2687,0.21122,0.12517,0.46899,0.0,8.0,45.0,0.976,takeoff
0.2703,1.37253,-0.14789,-9.75789,0.010225,-0.002312,0.001187,8.52,1012.2269,0.21379,0.13044,0.45922,0.0,8.0,45.0,1.014,takeoff
