timestamp_s,ue_id,report_idx,dist_3d_m,elevation_angle_deg,rsrp_dbm,rsrq_db,sinr_db,cqi,mcs,prb_allocated,prb_utilisation_pct,dl_throughput_mbps,ul_throughput_mbps,bler,latency_ms
0.0,UE-01,0.0,58.3,0.1,-64.0,-3.0,24.5,15.0,28.0,5.0,4.7,4.995,1.653,0.0,2.04
0.5,UE-01,1.0,60.3,14.6,-56.2,-3.0,28.4,15.0,28.0,4.0,3.8,3.996,1.175,0.0037,1.5
1.0,UE-01,2.0,65.6,27.3,-54.4,-3.0,25.1,15.0,28.0,5.0,4.7,4.995,1.429,0.0,2.11
1.5,UE-01,3.0,73.7,37.7,-48.5,-3.0,28.3,15.0,28.0,5.0,4.7,4.995,1.617,0.0,1.96
2.0,UE-01,4.0,83.9,46.0,-43.8,-3.0,29.9,15.0,28.0,5.0,4.7,4.995,1.627,0.0,1.58
2.5,UE-01,5.0,83.8,45.9,-45.2,-3.0,28.9,15.0,28.0,6.0,5.7,5.994,1.317,0.0,1.49
3.0,UE-01,6.0,83.9,46.0,-45.5,-3.0,30.0,15.0,28.0,6.0,5.7,5.994,2.018,0.0171,1.75
3.5,UE-01,7.0,83.9,45.9,-43.0,-3.0,28.9,15.0,28.0,6.0,5.7,5.994,1.128,0.0,1.59
4.0,UE-01,8.0,84.0,46.1,-46.4,-3.0,27.5,15.0,28.0,6.0,5.7,5.994,1.531,0.0,1.79
4.5,UE-01,9.0,83.9,46.0,-42.4,-3.0,29.3,15.0,28.0,6.0,5.7,5.994,1.175,0.0,1.7
5.0,UE-01,10.0,83.8,45.9,-46.5,-3.0,30.0,15.0,28.0,5.0,4.7,4.995,1.589,0.0364,1.71
5.5,UE-01,11.0,84.1,46.1,-42.8,-3.0,30.0,15.0,28.0,5.0,4.7,4.995,1.406,0.0,1.8
6.0,UE-01,12.0,83.7,45.9,-45.6,-3.0,27.9,15.0,28.0,6.0,5.7,5.994,1.18,0.0081,1.85
6.5,UE-01,13.0,83.8,45.9,-45.9,-3.0,29.2,15.0,28.0,6.0,5.7,5.994,1.259,0.0,1.78
7.0,UE-01,14.0,84.0,46.0,-44.9,-3.0,29.3,15.0,28.0,5.0,4.7,4.995,1.727,0.0096,1.76
7.5,UE-01,15.0,83.8,45.9,-44.7,-3.0,29.0,15.0,28.0,6.0,5.7,5.994,1.442,0.0,1.52
8.0,UE-01,16.0,83.6,45.8,-45.1,-3.0,30.0,15.0,28.0,5.0,4.7,4.995,0.785,0.0,1.76
8.5,UE-01,17.0,73.7,37.7,-45.2,-3.0,28.8,15.0,28.0,6.0,5.7,5.994,1.208,0.0,1.52
9.0,UE-01,18.0,65.6,27.3,-52.8,-3.0,24.2,15.0,28.0,5.0,4.7,4.995,1.364,0.0047,2.15
9.5,UE-01,19.0,60.3,14.6,-55.1,-3.0,23.9,15.0,28.0,5.0,4.7,4.995,1.738,0.0,1.94
10.0,UE-01,20.0,58.3,0.5,-63.6,-3.0,20.9,14.0,27.0,5.0,4.7,4.694,1.346,0.2449,2.32
0.0,UE-02,0.0,144.2,0.1,-70.8,-3.0,12.9,11.0,21.0,18.0,17.0,10.589,2.309,0.9819,3.57
0.5,UE-02,1.0,145.0,6.0,-69.7,-3.0,17.3,13.0,25.0,22.0,20.8,17.147,3.872,0.8895,2.81
1.0,UE-02,2.0,147.4,11.8,-71.3,-3.0,14.3,12.0,23.0,21.0,19.8,13.616,2.999,1.0,3.28
1.5,UE-02,3.0,151.2,17.3,-66.7,-3.0,16.4,13.0,25.0,16.0,15.1,11.838,2.004,0.9975,3.0
2.0,UE-02,4.0,156.4,22.7,-65.6,-3.0,15.7,12.0,23.0,15.0,14.2,10.639,2.465,0.9062,2.9
2.5,UE-02,5.0,156.4,22.7,-62.6,-3.0,16.9,13.0,25.0,17.0,16.0,12.951,2.297,0.9356,2.84
3.0,UE-02,6.0,156.5,22.7,-63.2,-3.0,13.0,11.0,21.0,24.0,22.6,14.221,3.575,0.9442,3.47
3.5,UE-02,7.0,156.5,22.6,-64.6,-3.0,14.8,12.0,23.0,22.0,20.8,14.741,4.394,0.9739,2.93
4.0,UE-02,8.0,156.6,22.7,-60.4,-3.0,16.6,13.0,25.0,19.0,17.9,14.225,3.435,1.0,2.93
4.5,UE-02,9.0,156.6,22.7,-63.8,-3.0,15.1,12.0,23.0,22.0,20.8,15.028,3.716,0.9502,3.05
5.0,UE-02,10.0,156.6,22.6,-62.6,-3.0,17.1,13.0,25.0,20.0,18.9,15.413,3.221,0.934,2.59
5.5,UE-02,11.0,156.8,22.7,-69.7,-3.0,15.2,12.0,23.0,21.0,19.8,14.437,4.154,0.9386,3.08
6.0,UE-02,12.0,156.6,22.6,-61.7,-3.0,15.1,12.0,23.0,17.0,16.0,11.613,2.995,0.9476,3.23
6.5,UE-02,13.0,156.7,22.6,-61.9,-3.0,16.3,13.0,25.0,18.0,17.0,13.239,4.162,0.9965,2.6
7.0,UE-02,14.0,156.9,22.6,-67.1,-3.0,13.0,11.0,21.0,15.0,14.2,8.888,1.509,0.9854,3.68
7.5,UE-02,15.0,156.9,22.6,-64.6,-3.0,13.9,11.0,21.0,12.0,11.3,7.574,1.286,0.8419,3.19
8.0,UE-02,16.0,156.8,22.5,-57.1,-3.0,18.7,14.0,27.0,19.0,17.9,15.983,5.103,0.923,2.45
8.5,UE-02,17.0,151.8,17.3,-66.3,-3.0,14.7,12.0,23.0,24.0,22.6,15.977,3.792,0.9823,3.18
9.0,UE-02,18.0,148.1,11.7,-69.7,-3.0,15.7,12.0,23.0,21.0,19.8,14.894,3.546,0.8376,2.82
9.5,UE-02,19.0,145.9,6.0,-73.3,-3.0,13.2,11.0,21.0,20.0,18.9,12.021,3.054,0.988,3.43
10.0,UE-02,20.0,145.2,0.2,-71.8,-3.0,13.7,11.0,21.0,25.0,23.6,15.563,4.223,0.9257,3.45
0.0,UE-03,0.0,108.2,0.1,-77.4,-3.0,8.7,9.0,16.0,23.0,21.7,9.541,1.936,0.9646,4.66
0.5,UE-03,1.0,104.8,8.4,-71.4,-3.0,10.8,10.0,18.0,22.0,20.8,10.998,1.692,0.9597,4.04
1.0,UE-03,2.0,103.9,16.8,-63.5,-3.0,11.2,10.0,18.0,16.0,15.1,8.264,2.696,0.8629,3.66
1.5,UE-03,3.0,105.7,25.2,-55.5,-3.0,14.4,12.0,23.0,21.0,19.8,13.707,3.313,0.9951,3.35
2.0,UE-03,4.0,110.1,33.2,-48.8,-3.0,18.0,13.0,25.0,20.0,18.9,16.206,3.01,0.7315,2.42
2.5,UE-03,5.0,107.5,34.1,-57.0,-3.0,16.1,12.0,23.0,11.0,10.4,7.994,1.555,0.7693,2.9
3.0,UE-03,6.0,105.4,34.9,-59.5,-3.0,14.5,12.0,23.0,12.0,11.3,7.885,2.341,1.0,3.31
3.5,UE-03,7.0,103.6,35.6,-50.3,-3.0,19.4,14.0,27.0,11.0,10.4,9.595,1.926,0.8508,2.3
4.0,UE-03,8.0,102.5,36.2,-63.1,-3.0,10.3,10.0,18.0,12.0,11.3,5.752,1.818,0.9971,3.9
4.5,UE-03,9.0,101.5,36.4,-54.4,-3.0,15.4,12.0,23.0,11.0,10.4,7.658,2.532,0.9488,2.99
5.0,UE-03,10.0,101.1,36.5,-51.7,-3.0,19.0,14.0,27.0,10.0,9.4,8.545,2.741,0.9369,2.34
5.5,UE-03,11.0,101.5,36.6,-50.0,-3.0,16.8,13.0,25.0,5.0,4.7,3.787,1.027,0.963,2.52
6.0,UE-03,12.0,101.8,36.2,-50.1,-3.0,19.2,14.0,27.0,17.0,16.0,14.677,3.803,0.9275,2.65
6.5,UE-03,13.0,103.0,35.8,-50.7,-3.0,15.2,12.0,23.0,12.0,11.3,8.249,1.352,0.9247,2.88
7.0,UE-03,14.0,104.7,35.2,-47.2,-3.0,17.7,13.0,25.0,15.0,14.2,11.956,2.19,0.8242,2.7
7.5,UE-03,15.0,106.6,34.4,-58.0,-3.0,13.4,11.0,21.0,25.0,23.6,15.241,5.127,0.919,3.46
8.0,UE-03,16.0,108.8,33.4,-54.2,-3.0,12.0,11.0,21.0,14.0,13.2,7.701,2.337,0.9572,3.84
8.5,UE-03,17.0,104.4,25.6,-56.3,-3.0,14.8,12.0,23.0,18.0,17.0,12.061,3.095,0.9641,3.06
9.0,UE-03,18.0,102.4,17.1,-53.9,-3.0,17.4,13.0,25.0,11.0,10.4,8.622,2.209,0.9121,2.52
9.5,UE-03,19.0,103.1,8.5,-61.0,-3.0,15.6,12.0,23.0,15.0,14.2,10.573,3.319,0.8689,2.81
10.0,UE-03,20.0,106.3,0.3,-73.7,-3.0,8.8,9.0,16.0,20.0,18.9,8.375,2.159,0.9437,4.59
0.0,UE-04,0.0,356.1,0.0,-90.9,-6.8,-3.4,3.0,4.0,60.0,56.6,4.399,0.821,0.9683,12.52
0.5,UE-04,1.0,356.5,2.4,-101.3,-9.2,-8.0,1.0,0.0,58.0,54.7,1.662,0.571,0.9945,19.11
1.0,UE-04,2.0,357.5,4.8,-90.7,-6.4,-2.9,3.0,4.0,64.0,60.4,5.16,0.832,1.0,12.03
1.5,UE-04,3.0,359.2,7.2,-90.4,-8.3,-5.4,2.0,2.0,64.0,60.4,3.159,0.837,0.988,15.21
2.0,UE-04,4.0,361.5,9.6,-88.2,-6.1,-3.0,3.0,4.0,66.0,62.3,5.222,1.158,1.0,11.85
2.5,UE-04,5.0,361.6,9.6,-87.8,-5.7,-1.1,4.0,6.0,72.0,67.9,8.056,1.941,1.0,10.23
3.0,UE-04,6.0,361.7,9.6,-86.7,-5.1,-0.9,4.0,6.0,64.0,60.4,7.415,1.113,0.96,10.17
3.5,UE-04,7.0,361.8,9.6,-92.5,-6.0,-3.1,3.0,4.0,67.0,63.2,5.202,1.723,0.9798,12.12
4.0,UE-04,8.0,361.9,9.6,-90.0,-6.2,-2.9,3.0,4.0,69.0,65.1,5.564,1.265,1.0,11.74
4.5,UE-04,9.0,362.0,9.6,-89.0,-5.9,-2.8,3.0,4.0,67.0,63.2,5.505,1.69,0.9718,11.65
5.0,UE-04,10.0,362.1,9.6,-85.4,-4.9,-2.3,4.0,6.0,71.0,67.0,6.403,1.749,1.0,11.51
5.5,UE-04,11.0,362.2,9.6,-95.8,-6.8,-5.3,2.0,2.0,75.0,70.8,3.778,0.712,1.0,14.73
6.0,UE-04,12.0,362.2,9.5,-79.7,-4.0,0.9,5.0,8.0,66.0,62.3,10.311,2.302,0.9894,8.53
6.5,UE-04,13.0,362.4,9.6,-78.7,-6.0,-1.3,4.0,6.0,70.0,66.0,7.562,2.219,0.9697,10.34
7.0,UE-04,14.0,362.5,9.6,-83.9,-4.9,-1.0,4.0,6.0,71.0,67.0,8.084,2.296,0.9836,9.88
7.5,UE-04,15.0,362.5,9.6,-97.9,-7.5,-4.7,3.0,4.0,63.0,59.4,3.581,1.234,0.97,13.89
8.0,UE-04,16.0,362.6,9.5,-91.0,-6.4,-4.3,3.0,4.0,68.0,64.2,4.184,0.887,1.0,13.56
8.5,UE-04,17.0,360.5,7.2,-94.4,-6.9,-5.2,2.0,2.0,58.0,54.7,2.981,0.654,0.9575,14.94
9.0,UE-04,18.0,359.1,4.8,-88.0,-6.1,-2.7,3.0,4.0,69.0,65.1,5.777,1.931,1.0,11.61
9.5,UE-04,19.0,358.2,2.4,-90.3,-6.0,-2.6,3.0,4.0,66.0,62.3,5.63,1.496,0.9723,11.38
10.0,UE-04,20.0,358.0,0.1,-97.9,-6.7,-4.4,3.0,4.0,56.0,52.8,3.378,0.539,0.9978,13.52
,_metadata,,,,,,,,,,,,,,
,_metadata,,,,,,,,,,,,,,
,_metadata,,,,,,,,,,,,,,
,_metadata,,,,,,,,,,,,,,
