container_count,entity_id,entity_type,event_id,event_type,origin,terminal,timestamp,wagons,weight_tons
,TAKARGO_991,train,ea1c6946-9343-4f85-a008-42804f9005f8,TRAIN_UNLOADING,,T3,2026-05-29T16:14:54.972953,17,
,CONT_816307,container,d9f1e9db-38cb-49a7-b612-d4dc9ab135ec,CONTAINER_SCAN,,T4,2026-05-29T16:16:30.972953,,10.99
,CONT_321509,container,bc374408-95b1-4a0e-b153-148a3f9b0ebf,CONTAINER_TRANSFER,,T1,2026-05-29T16:17:09.972953,,10.31
,TAKARGO_991,train,586cb010-2a91-4017-ba30-1bc2479cb76b,TRAIN_UNLOADING,,T2,2026-05-29T16:17:56.972953,20,
,MEDWAY_778,train,e4183735-19cb-4cac-9e54-ebe37586068f,TRAIN_UNLOADING,,T2,2026-05-29T16:18:15.972953,36,
,CONT_964944,container,6af17861-2861-4097-9100-9c0f1b427e7b,CONTAINER_SCAN,,T4,2026-05-29T16:18:53.972953,,6.79
,CONT_751834,container,7435a6d4-07ad-4f7d-910b-0932f926a974,CONTAINER_UNLOAD,,T2,2026-05-29T16:18:57.972953,,6.97
,MEDWAY_778,train,65f7fd91-f35f-446e-be96-fbee8d6b49c8,TRAIN_DEPARTURE,,T2,2026-05-29T16:20:10.972953,35,
1050,EVER_GLOBE,ship,f9d51e3e-3a57-4d95-b6d7-3d3a4bf3bb4a,SHIP_UNDOCKED,Singapore,T2,2026-05-29T16:20:25.972953,,
,TAKARGO_991,train,d6ffd96b-9b63-49b7-b396-d488f503daa9,TRAIN_DEPARTURE,,T1,2026-05-29T16:21:41.972953,28,
,CONT_793218,container,82c987b5-3d5a-47c1-8d7b-d8600e39b98a,CONTAINER_TRANSFER,,T3,2026-05-29T16:22:01.972953,,29.54
,CONT_151887,container,c3d83125-3392-4fb2-a663-b6146403d304,CONTAINER_UNLOAD,,T3,2026-05-29T16:22:14.972953,,21.48
,TAKARGO_991,train,58bfe8a8-28f5-41cc-b8b3-3216f2603544,TRAIN_LOADING,,T4,2026-05-29T16:25:35.972953,18,
,CP_4401,train,bd13b0f1-4276-4543-98f3-2a3e6c9f5003,TRAIN_DEPARTURE,,T3,2026-05-29T16:25:47.972953,28,
,CONT_714112,container,34a56a23-af1f-4383-bdfd-4d193133fafb,CONTAINER_TRANSFER,,T4,2026-05-29T16:27:59.972953,,8.53
,TAKARGO_991,train,efe57ffb-f9e6-4cfe-a176-670de14d8965,TRAIN_DEPARTURE,,T2,2026-05-29T16:28:26.972953,24,
